Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/01/2023","21 HAZEL LAWNS, BALLYHAUNIS, MAYO","Mayo","F35F588","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","21 MOUNT ANDREW DALE, LUCAN, DUBLIN","Dublin","K78F897","€518,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","23 GREENMOUNT BUILDINGS, OFF BARRACKS ST, CORK","Cork","T12XD5T","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","24 VILLAGE SQUARE, CASTLE LESLIE, GLASLOUGH","Monaghan","H18CY83","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","27 ST FINIANS TERRACE, NAVAN, MEATH","Meath","C15F9W2","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","29 ROCKABILL APTS, SKERRIES, CO DUBLIN","Dublin","K34YY17","€415,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","3 GREENTREES, PEARSE RD, SLIGO","Sligo","F91DD85","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","33 LA VALLEE, UPPER DARGLE RD, FASSAROE","Wicklow","A98X971","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","35 Newtown Wood, Drogheda","Louth","","€297,356.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","38 HOLYWELL PARK, FELTRIM RD, SWORDS","Dublin","K67F788","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","38 Newtown Wood, Drogheda","Louth","","€301,761.20","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","39 BROOKHAVEN WALK, CORBALLY, LIMERICK","Limerick","V94D89T","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","39 DUNBRODY WHARF, NEW ROSS, WEXFORD","Wexford","Y34DC92","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","39 Hazel Hill, Hazel Brooke, Mallow","Cork","","€308,370.04","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","40 ardrath crescent, crodaun, celbridge","Kildare","","€405,286.35","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","41 BRAMBLE AVENUE, KILLYNEBBER, CAVAN","Cavan","H12XP95","€211,453.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","5 The Grove, Castle Oaks, Breagagh Valley","Kilkenny","","€273,127.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","5 WARREN CLOSE, CASTLEKNOCK, DUBLIN 15","Dublin","D15P2NW","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","50 Hazel Hill, Hazelbrooke, Mallow","Cork","","€232,600.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","6 ROSECOURT, CABRA RD, DUBLIN 7","Dublin","D07PX03","€265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","60 THE COOMBE, DUBLIN 8, DUBLIN","Dublin","D08ERK4","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","61 WOODHAVEN, KILRUSH RD, ENNIS","Clare","V95HP2F","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","76 ASHLAWN, LETTERKENNY, DONEGAL","Donegal","F92EKX7","€166,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","8 The Drive, Belin Woods, Newbridge","Kildare","","€325,991.19","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","9 Gallow Hill Court, Athy, Co Kildare","Kildare","","€264,317.18","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","9 LEHANES, STANHOPE ST, ATHY","Kildare","","€139,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","9 ST EDWARD'S TERRACE, SLIGO","Sligo","F91R2KE","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","9 THE GREEN ROBSWALL, MALAHIDE, DUBLIN","Dublin","K36FT86","€412,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","92 DUIRLING, ROSCAM, GALWAY","Galway","H91APW8","€468,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","98 MILLERS AVENUE, MILLERS GLEN, OLDTOWN","Dublin","K67E4E2","€418,502.20","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","AHANE LOWER, CULLEN, MALLOW","Cork","P51N5D9","€10,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","AISLING, SMITHS RD, CHARLEVILLE","Cork","P56T201","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","APT 15 MORRISONS HOUSE, MORRISONS QUAY, CORK","Cork","T12HE06","€292,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","APT 17, 31 JAMESS WALK, RIALTO DUBLIN 8","Dublin","D08EC59","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","APT 31 WELLINGTON SQ, WELLINGTON ST, WATERFORD","Waterford","X91HX00","€147,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","BROODWOOD, TUBBER LANE, LUCAN","Dublin","K78T6D8","€283,333.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","CAMBER, CORRIGA, LEITRIM","Leitrim","H12TF44","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","CLONTURK, BALLYMCCORMACK, COUNTY LONGFORD","Longford","","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","CORNAHAW, BLACKLION, COUNTY CAVAN","Cavan","F91Y9C6","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","COURLEIGH NORTH, CLONAKILTY, CO CORK","Cork","","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","CRADDENSTOWN, RAHARNEY, CO WESTMEATH","Westmeath","","€8,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","DOONEEN, KILCUMMIN, KILLARNEY","Kerry","V93C95R","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","DOWNSTOWN, DOWNSTOWN ROAD, DULEEK","Meath","","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","FURNACELAND, SWANLINBAR, CAVAN","Cavan","H14YC82","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","FURROR, KILMALEY, ENNIS","Clare","V95HYR8","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","GARRYSPILLANE, KILMALLOCK, CO LIMERICK","Limerick","V35VW02","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","GLENCAR, COUNTY SLIGO","Sligo","","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","GLENPATRICK, KILSHEELAN, CLONMEL","Waterford","E91A3K1","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","LISALWAY, CASTLEREA, COUNTY ROSCOMMON","Roscommon","","€45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","LISLEA, BALLINALEE, CO. LONGFORD","Longford","N39P6C2","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","MAIN ST, CAHERCIVEEN, KERRY","Kerry","","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","MILL COTTAGE, PARKMORE   CREAGH, BALLINASLOE","Galway","","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","NEWTOWN LODGE, TRIM, MEATH","Meath","C15D778","€253,750.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","No. 22 Oak Manor, The Willows, Dunshaughlin  Co. Meath","Meath","","€352,422.91","No","Yes","New Dwelling house /Apartment",""
"04/01/2023","NUTFIELD, BAREFIELD, ENNIS","Clare","V95YE2A","€880,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","ROCKHILL, WOODFORD, GALWAY","Galway","","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","ROTHBY FORGE, LEAS CROSS, SWORDS","Dublin","K67X3A0","€406,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","SCHOLL HILL, SHILLELAGH, CO WICKLOW","Wicklow","Y14RD37","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","SEEHANES, DRIMOLEAGUE, CO CORK","Cork","P47NT25","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","SUAIMHNEAS, CARROWCOLLAR, KILGLASS","Sligo","F26X031","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","THE FORGE, AUGHNISH, RAMELTON","Donegal","F92XD72","€306,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2023","TULLYNAHALA, BALLINAGLERA, CO LEITRIM","Leitrim","","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","1 LOWER GREEN ST, FETHARD, TIPPERARY","Tipperary","E91W942","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","10 THE CLOISTERS, CHURCH RD, DOUGLAS","Cork","T12AK50","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","101 THE AVENUE, LOUGHBOLLARD, CLANE","Kildare","W91Y7W7","€50,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","107 COIS GHRUDA, CASTLETROY, LIMERICK","Limerick","V94P6Y2","€150,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","108 BRANDON RD, DRIMNAGH, DUBLIN 12","Dublin","D12HC57","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","108A WHEATFIELD RD, PALMERSTOWN, DUBLIN 20","Dublin","D20V124","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","11  Elm Drive, Gleann Fia, Tower","Cork","","€317,180.00","No","Yes","New Dwelling house /Apartment",""
"05/01/2023","11 THE ARCHES, MARSH RD, DROGHEDA","Louth","A92C42H","€203,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","110 THE CEDARS, CARRINGTON, NORTHWOOD DUBLIN 9","Dublin","D09AH70","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","115 BELVEDERE HILLS, BALLINDERRY, MULLINGAR","Westmeath","N91W1W3","€271,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","119 ARDMORE PARK, BRAY, WICKLOW","Wicklow","A98A0D6","€625,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","12 BRAEMOR GROVE, CHURCHTOWN, DUBLIN 14","Dublin","D14VK68","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","12 Elm Drive, Gleann Fia, Tower","Cork","","€317,180.00","No","Yes","New Dwelling house /Apartment",""
"05/01/2023","12 LOWER GEORGES ST, WEXFORD, WEXFORD","Wexford","Y35VPK5","€97,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","12 The Drive, Walkers Gate, Kildare Town","Kildare","","€348,017.00","No","Yes","New Dwelling house /Apartment",""
"05/01/2023","124 CASHEL AVENUE, KIMMAGE, DUBLIN 12","Dublin","D12H6E8","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","13 OSBERSTOWN DR, SALLINS, KILDARE","Kildare","W91Y244","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","13 ST. COLUMBAS TERRACE, ATHLONE, COUNTY WESTMEATH","Westmeath","N37C3K5","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","14 NEWTOWNPARKS, SKERRIES, DUBLIN","Dublin","K34PY61","€400,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","14 POACHERS LOUGH, LEIGHLINBRIDGE, CO. CARLOW","Carlow","R93CD40","€164,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","14 SILVER BIRCH, STONE PARK, LONGFORD","Longford","N39Y7E5","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","14 THOMOND COURT, BALLYMAHON, LONGFORD","Longford","N39YV79","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","145 THE GLEBE MAUDLIN RD KELLS, MEATH","Meath","A82K7F4","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","15 Harpur Avenue, Harpur Lane, Leixlip","Kildare","","€427,312.77","No","Yes","New Dwelling house /Apartment",""
"05/01/2023","15 SHACKLETON COURT, FORTBARRINGTON RD, ATHY","Kildare","R14FC95","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","16 IMAAL RD, CABRA, DUBLIN 7","Dublin","D07E172","€388,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","17 CROMWELLSFORT AVE, MULGANNON, WEXFORD","Wexford","Y35W7A4","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","18 Clay Farm Walk, Clay Farm, Leopardstown","Dublin","","€647,577.09","No","Yes","New Dwelling house /Apartment",""
"05/01/2023","18 CLIEVERAGH PARK, LISTOWEL, KERRY","Kerry","V31FN26","€127,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","18 CLUAIN ARD, KILLYCLUG, LETTERKENNY","Donegal","F92FP9V","€71,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","189 VERNON AVENUE, CLONTARF, DUBLIN 3","Dublin","D03XH74","€860,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","19 MCHALE TERRACE, TUAM, COUNTY GALWAY","Galway","H54RR59","€53,625.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","19 RIVER WELL HOUSE, OAKVIEW VILLAGE, TRALEE","Kerry","V92K135","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","19 THE ORCHARD, NEW ORCHARD RD, KILKENNY","Kilkenny","R95W2Y6","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","2 CASTLEMANOR CRESCENT, CASTLEMARTYR, CORK","Cork","P25D624","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","2 MOATVIEW COURT, PRIORSWOOD, COOLOCK","Dublin","D17N448","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","2 THE TERRACE, LADYSWELL ST, CASHEL","Tipperary","E25WK30","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","20 MCCURTAINS VILLAS, CORK, CORK","Cork","T12RRW1","€25,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","208 LR KILMACUD RD, DUNDRUM, DUBLIN 14","Dublin","D14PX05","€660,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","22 CLAYFARM WALK, CLAY FARM, LEOPARDSTOWN","Dublin","","€647,577.09","No","Yes","New Dwelling house /Apartment",""
"05/01/2023","22 LENABOY PARK, SALTHILL, GALWAY","Galway","H91KFA0","€815,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","23 MAYDENHAYES SQUARE, DONACARNEY, CO LOUTH","Meath","A92TX4T","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","24 CLOVERWELL, EDGENWORTHSTOWN, LONGFORD","Longford","N39W959","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","24 Linenfield Crescent, Ballymakenny Road, Drogheda","Louth","","€274,008.00","No","Yes","New Dwelling house /Apartment",""
"05/01/2023","25 FORTFIELD SQ, TERENURE, DUBLIN 6W","Dublin","D6WX339","€655,750.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","27 SARSFIELD ST, NENAGH, TIPPERARY","Tipperary","E45TW56","€149,950.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","28 RUSHEEN ARD, CALBRAGH, SLIGO","Sligo","F91D344","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","2ND FLOOR APARTMENT, GRANARY HOUSE, WILLIAM STREET ARDEE","Louth","A92HP11","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","3 ABBOTSTOWN AVE, FINGLAS WEST, DUBLIN 11","Dublin","D11R5X9","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2023","3 CRONANS WELL GATE, RATHBEALE ROAD, MOORETOWN","Dublin","K67X2H9","€352,660.79","No","Yes","New Dwelling house /Apartment",""
"05/01/2023","3 Westmill Walk, Millers Glen","Dublin","","€374,449.34","No","Yes","New Dwelling house /Apartment",""
